All,Всі
"You saved the design change.","Ви зберегли зміну дизайну."
System,Система
"Manage Stores","Управління Магазинами"
"The database was backed up.","Резервна копія бази даних була створена."
"We can't create a backup right now. Please try again later.","Ми не можемо створити резервну копію зараз. Будь ласка, повторіть спробу пізніше."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Видалення %1 не видалить інформацію, пов\'язану з %1 (напр., категорії, товари, і т.і.), але %1 не можна буде відновити. Пропонується створити резервну копію бази даних перед видаленням %1."
"Something went wrong. Please try again.","Щось пішло не так. Будь-ласка, спробуйте ще раз."
"This store cannot be deleted.","Цей магазин не може бути видаленим."
"You deleted the store.","Ви видалили магазин."
"Unable to delete the store. Please try again later.","Не вдається видалити магазин. Будь-ласка, повторіть спробу пізніше."
"This store view cannot be deleted.","Цей вид магазину не може бути видаленим."
"Store View","Вид Магазину"
"You deleted the store view.","Ви видалили вид магазину."
"Unable to delete the store view. Please try again later.","Не вдається видалити вид магазину. Будь-ласка, повторіть спробу пізніше."
"This website cannot be deleted.","Цей вебсайт не може бути видаленим."
"You deleted the website.","Ви видалили вебсайт."
"Unable to delete the website. Please try again later.","Не вдається видалити вебсайт. Будь-ласка, повторіть спробу пізніше."
"The website does not exist.","Вебсайт не інсує."
"Before modifying the website code please make sure it is not used in index.php.","Перед тим, як змінювати код вебсайту, будь-ласка, переконайтеся, що він не використовується у index.php."
"The store does not exist","Магазин не існує"
"Store view doesn't exist","Вид магазину не існує"
"Before modifying the store view code please make sure it is not used in index.php.","Перед тим, як змінювати код Вигляду Крамниці, будь-ласка, переконайтеся, що він не використовується у index.php."
"New ","Новий "
"All Stores","Усі Магазини"
"You saved the website.","Ви зберегли вебсайт."
"The default store cannot be disabled","Магазин за замовчуванням неможливо вимкнути"
"You saved the store view.","Ви зберегли вид магазину."
"An inactive store view cannot be saved as default store view","Неактивний вигляд магазину не можна зберегти як вигляд магазину за замовчуванням"
"You saved the store.","Ви зберегли магазин."
"Something went wrong while saving. Please review the error log.","Щось пішло не так під час збереження. Будь-ласка, перегляньте журнал помилок."
"Last 24 Hours","Останні 24 Години"
"Last 7 Days","Останні 7 Днів"
"Current Month","Поточний Місяць"
YTD,"З Початку Року"
2YTD,"З Початку Минулого Року"
"Authentication storage is incorrect.","Аутентифікація сховища некоректна."
"You did not sign in correctly or your account is temporarily disabled.","Ви ввели невірні данні входу, або Ваш обліковий запис тимчасово заблокований."
"Authentication error occurred.","Сталася помилка аутентифікації."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Час адмін-сесії має бути менше або дорівнювати 31536000 секундам (на рік)"
"Admin session lifetime must be greater than or equal to 60 seconds","Час адмін-сесії має бути більше або дорівнювати 60 секундам"
Order,Замовлення
"Order #%1","Замовлення #%1"
"Sorry, you need permissions to view this content.","Вибачте, вам потрібен дозвіл на перегляд цього контенту."
"Next steps","Наступний крок"
"If you think this is an error, try signing out and signing in again.","Якщо ви думаєте, що це помилка, спробуйте вийти та ввійти знову."
"Contact a system administrator or store owner to gain permissions.","Зверніться до системного адміністратора або власника магазину, щоб отримати права доступу."
"Return to ","Повернутися до "
"previous page","попередня сторінка"
"Welcome, please sign in","Ласкаво просимо, будь-ласка увійдіть"
Username,"Ім'я користувача"
"user name","ім'я користувача"
Password,Пароль
password,пароль
"Sign in",Увійти
"Select Range:","Вибрати Діапазон:"
"No Data Found","Дані Не Знайдено"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Діаграму вимкнуто. Щоб увімкнути діаграму, клацніть <a href=""%1"">тут</a>."
"Last Orders","Останні Замовлення"
"Last Search Terms","Останні Пошукові Фрази"
"Top Search Terms","Часті Пошукові Фрази"
"There are no search keywords.","Немає таких ключових слів."
"View Statistics For:","Переглянути Статистику Для:"
"All Websites","Всі Веб-сайти"
"Reload Data","Перезавантажити Дані"
"Browse Files...","Перегляд Файлів..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Авторське право &copy; %1 Magento Commerce Inc. Всі права захищені."
"Magento Admin Panel","Панель Адміністрування Magento"
"Account Setting","Нашалштування Облікового Запису"
"Customer View","Очима Покупця"
"Sign Out",Вийти
"About the calendar","Про календар"
"Go Today","Перейти на Сьогодні"
Previous,Попереднє
Next,Наступне
WK,Тижд
Time,Час
Hour,Година
Minute,Хвилина
"JavaScript may be disabled in your browser.","JavaScript може бути відключеним у Вашому браузері."
"To use this website you must first enable JavaScript in your browser.","Щоб використовувати цей вебсайт, слід спочатку ввімкнути JavaScript у Вашому браузері."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Це тільки демо-магазин. Ви можете переглядати й розміщувати замовлення, але нічого не буде оброблено."
"Report an Issue","Повідомити про проблему"
"Store View:","Вид Магазину:"
"Stores Configuration","Конфігурації Магазинів"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Будь ласка, підтвердіть перемикання меж. Усі незбережені дані будуть втрачені."
"Additional Cache Management","Додаткове Управління Кешем"
"Flush Catalog Images Cache","Скинути Кеш Зображень Каталогу"
"Pregenerated product images files","Попередньо згенеровані файли зображень товару"
"Flush JavaScript/CSS Cache","Скинути JavaScript/CSS Кеш"
"Themes JavaScript and CSS files combined to one file","Теми JavaScript та CSS файли об\'єднані в один файл"
"Flush Static Files Cache","Скинути Кеш Статичних Файлів"
"Preprocessed view files and static files","Попередньо оброблені файли виду та статичні файли"
Catalog,Каталог
"JavaScript/CSS Cache","JavaScript/CSS Кеш"
"No records found.","Записів не знайдено."
Images,Зображення
"Big Image","Велике Зображення"
Thumbnail,Мініатюра
"Additional Settings","Додаткові Налаштування"
"records found","знайдено записи"
selected,вибрано
"per page","на сторінці"
"Previous page","Попередня сторінка"
"of %1","з %1"
"Next page","Наступна сторінка"
"Export to:","Експорт до:"
"Mass Actions","Масові Дії"
"Unselect All","Зняти Усі Виділення"
"Select Visible","Вибрати Видиме"
"Unselect Visible","Зняти Виділення з Вибраних"
"Changes have been made to this section that have not been saved.","Зміни, внесені до цієї секції, не були збережені."
"This tab contains invalid data. Please resolve this before saving.","Ця вкладка містить недійсні дані. Будь-ласка, виправте це перед збереженням."
"The information in this tab has been changed.","Інформація у цій вкладці була змінена."
Loading...,Завантаження...
"We could not detect a size.","Ми не змогли виявити розмір."
"We don't recognize or support this file extension type.","Ми не розпізнаємо або не підтримуємо це розширення файлу."
"Warning message","Попереджувальне повідомлення"
"This operation can take a long time","Ця операція може забрати багато часу"
"Allow everything","Дозволити все"
"Magento Admin","Адмін-панель Magento"
"Global Search","Глобальний Пошук"
Marketing,Маркетинг
"SEO & Search","SEO та Пошук"
"User Content","Контент Користувача"
Content,Вміст
Elements,Елементи
Design,Дизайн
Schedule,Розклад
"Content translation",Переклад
Settings,Налаштування
Attributes,Атрибути
"Other Settings","Інші Налаштування"
"Data Transfer","Передача Даних"
"Package Extensions","Пакувати Розширення"
Tools,Інструменти
"Flush Static Files","Скинути Кеш Статичних Файлів"
"Web Setup Wizard","Веб-майстер Установки"
Currency,Валюта
Communications,Зв'язок
Services,Сервіси
Advanced,Додатково
"Disable Modules Output","Вимкнути Виведення Модулів"
"Store Email Addresses","Адреси Електронної Пошти Магазину"
"Custom Email 1","Своя Електронная Пошта 1"
"Sender Email","Електронна Пошта Відправника"
"Sender Name","Ім'я Відправника"
"Custom Email 2","Своя Електронная Пошта 2"
"General Contact","Основний Контакт"
"Sales Representative","Торговий Представник"
"Customer Support","Клієнтська Підтримка"
Developer,Розробник
"Enabled Template Path Hints for Storefront","Увімкнені Підказки Шаблону Шляху для Вітрини Магазину"
"Enabled Template Path Hints for Admin","Увімкнені Підказки Шаблону Шляху для Адмін-панелі"
"Add Block Names to Hints","Додати Назви Блоків до Підказок"
"Template Settings","Налаштування Шаблонів"
"Allow Symlinks","Дозволити Символічні Посилання"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Застереження! Увімкнення цієї функції не рекомендовано на виробничому середовищі, тому що вона представляє потенційну загрозу безпеці."
"Minify Html","Зменшити Html"
"Minification is not applied in developer mode.","Зменшення не застосовується у режимі розробки."
"Translate Inline","Перекласти у Тексті"
"Enabled for Storefront","Ввімкнуто на Вітрині Магазину"
"Enabled for Admin","Ввімкнуто для Адмін-панелі"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Перекласти, блоки та інші кеши виведення повинні бути вимкнені для перекладів у тексті на Вітрині Магазину та Адмін-панелі."
"JavaScript Settings","Налаштування JavaScript"
"Merge JavaScript Files","Об\'єднати JavaScript Файли"
"Enable JavaScript Bundling","Увімкнути JavaScript Групування"
"Minify JavaScript Files","Зменшити JavaScript Файли"
"CSS Settings","Налаштування CSS"
"Merge CSS Files","Об'єднати Файли CSS"
"Minify CSS Files","Зменшити Файли CSS"
"Image Processing Settings","Налаштування Обробки Зображень"
"Image Adapter","Адаптер Зображення"
"Static Files Settings","Налаштування Статичних Файлів"
"Sign Static Files","Підписати Статичні Файли"
"Country Options","Опції Країни"
"Allow Countries","Дозволити Країни"
"Default Country","Країна за Замовчуванням"
"European Union Countries","Країни Європейського Союзу"
"Top destinations","Найпопулярніші напрями"
"Locale Options","Опції Локалізації"
Timezone,"Часовий пояс"
Locale,Локалізація
"First Day of Week","Перший День Тижня"
"Weekend Days","Вихідні Дні"
"Store Name","Назва Магазину"
"Store Phone Number","Номер Телефону Магазину"
"Store Hours of Operation","Часи Роботи Магазину"
Country,Країна
Region/State,Регіон/Штат
"ZIP/Postal Code","Поштовий індекс"
City,Місто
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Street Address Line 2","Вулиця 2"
"VAT Number","Номер VAT"
"Single-Store Mode","Режим Єдиного Магазину"
"Enable Single-Store Mode","Увімкнути Режим Єдиного Магазину"
"This setting will not be taken into account if system has more than one store view.","Це налаштування не буде прийнете до уваги, якщо система має більше одного виду магазину."
"Mail Sending Settings","Налаштування Відправки Пошти"
"Disable Email Communications","Вимкнути Комунікації Електронною Поштою"
Host,Хост
"Port (25)","Порт (25)"
"Set Return-Path","Задати Зворотній Шлях"
"Return-Path Email","Зворотній Шлях Електронної Пошти"
Admin,Адміністратор
"Admin User Emails","Електронні Листи Адміністратора"
"Forgot Password Email Template","Шаблон Електронного Листа для Забутого Паролю"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон електронного листа обрано на основі теми відступання, коли опція ""За замовчуванням"" обрана."
"Forgot and Reset Email Sender","Відправник Листа для Забутого і Скидання"
"Startup Page","Стартова сторінка"
"Admin Base URL","Базова URL-адреса Адміністратора"
"Use Custom Admin URL","Використовувати Користувальницьку URL-адресу Адміністратора"
"Custom Admin URL","Користувальницька URL-адреса Адміністратора"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Переконайтеся, що базова URL-адреса закінчується на '/' (слеш), напр. http://yourdomain/magento/"
"Use Custom Admin Path","Використовувати Користувальницький Шлях Адміністратора"
"Custom Admin Path","Користувальницький Шлях Адміністратора"
"You will have to sign in after you save your custom admin path.","Ви повинні будете увійти після того, як збережете Ваш користувальницький шлях адміністратора."
Security,Безпека
"Recovery Link Expiration Period (hours)","Період Закінчення Відновлення Посилання (години)"
"Please enter a number 1 or greater in this field.","Будь-ласка, введіть у це поле число 1 або більше."
"Add Secret Key to URLs","Додати Секретний Ключ до URL-адрес"
"Login is Case Sensitive","Логін є Чутливим до Регістра"
"Admin Session Lifetime (seconds)","Тривалість Сесії Адміністратора (секунди)"
"Please enter at least 60 and at most 31536000 (one year).","Будь ласка, введіть від 60 до 31536000 (на рік)."
"Enable Charts","Увімкнути Діаграми"
Web,Веб
"Url Options","Опції Url-адреси"
"Add Store Code to Urls","Додати Код Крамниці до URL-адрес"
"Auto-redirect to Base URL","Автоматичне Перенаправлення до Базової URL-адреси"
"Search Engine Optimization","Пошукова оптимізація (SEO)"
"Use Web Server Rewrites","Використовувати Перезаписи Веб Серверу"
"Base URLs","Базові URL-адреси"
"Base URL","Базова URL-адреса"
"Specify URL or {{base_url}} placeholder.","Вкажіть URL-адресу або {{base_url}} заповнювач."
"Base Link URL","Базове Посилання URL-адреси"
"Base URL for Static View Files","Базова URL-адреса для Файлів Статичного Виду"
"May be empty or start with {{unsecure_base_url}} placeholder.","Може бути пустим або починатися з {{unsecure_base_url}} заповнювача."
"Base URL for User Media Files","Базова URL-адреса для Медіа Файлів Користувача"
"Base URLs (Secure)","Базові URL-адреси (Безпечні)"
"Secure Base URL","Безпечна Базова URL-адреса"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Вкажіть URL-адресу або {{base_url}}, або {{unsecure_base_url}} заповнювач."
"Secure Base Link URL","Захищене Базове Посилання URL-адреси"
"Secure Base URL for Static View Files","Захищена Базова URL-адреса для Файлів Статичного Виду"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Може бути пустим або починатися з {{secure_base_url}}, або {{unsecure_base_url}} заповнювача."
"Secure Base URL for User Media Files","Безпечна Базова URL-адреса для Медіа Файлів Користувача"
"Use Secure URLs on Storefront","Використовувати Безпечні URL-адреси на Вітрині Магазину"
"Use Secure URLs in Admin","Використовувати Безпечні URL-адреси в Адмін-панелі"
"Enable HTTP Strict Transport Security (HSTS)","Ввімкнути HTTP Strict Transport Security (HSTS)"
"Upgrade Insecure Requests","Оновити Незахищені Запити"
"Offloader header","Заголовок Вивантажувача"
"Default Pages","Сторінки за Замовчуванням"
"Default Web URL","Веб URL-адреса за Замовчуванням"
"Default No-route URL","URL-адреса Без Маршруту за Замовчуванням"
"Session Validation Settings","Налаштування Валідації Сесії"
"Validate REMOTE_ADDR","Валідувати REMOTE_ADDR"
"Validate HTTP_VIA","Перевірити HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Перевірити HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Перевірити HTTP_USER_AGENT"
"Use SID on Storefront","Використовувати SID на Вітрині Магазину"
"Allows customers to stay logged in when switching between different stores.","Дозволяє покупцям залишатися в системі під час переходу між різними магазинами."
"Cache Type","Тип Кешу"
Description,Опис
Tags,Мітки
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Помилка 404</h1><p>Сторінку не знайдено.</p>"
"Default Theme","Типова тема"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","Якщо не вказано значення, буде використано системне за замовчуванням. Системне значення за замовчуванням може бути змінено сторонніми розширеннями."
"Applied Theme","Застосована тема"
"Design Rule","Правило дизайну"
"User Agent Rules","Правила користування"
Pagination,Пагінація
"How many links to display at once.","Кількість посилань для одночасного відображення."
"Pagination Frame","Кадрування Пагінації"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Якщо поточне положення кадрування не покриває всі можливі сторінки, буде надаватися посилання на поточне положення плюс/мінус це значення."
"Pagination Frame Skip","Пропустити Кадрування Пагінації"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Альтернативний текст для попереднього посилання у меню пагінації. Якщо пусто, зображення стрілки за замовчування буде використовуватися."
"Anchor Text for Previous","Anchor Text для Попереднього"
"Anchor Text for Next","Anchor Text для Наступного"
"Theme Name","Назва теми"
"Please correct the tab configuration and try again. Tab Id should be not empry","Будь ласка, виправте конфігурацію вкладки і повторіть спробу. Ідентифікатор вкладки не повинен бути порожнім"
"You have entered an invalid password for current user.","Ви ввели невірний пароль для поточного користувача."
"Unable to delete store. Please, try again later.","Не вдалося видалити крамницю. Будь ласка, повторіть спробу пізніше."
"Unable to delete store view. Please, try again later.","Не вдалося видалити вид магазину. Будь ласка, повторіть спробу пізніше."
"Unable to delete website. Please, try again later.","Не вдалося видалити веб-сайт. Будь ласка, повторіть спробу пізніше."
"Access denied","Доступ заборонено"
"Please try to sign out and sign in again.","Будь-ласка, спробуйте вийти і зайти знову."
"If you continue to receive this message, please contact the store owner.","Якщо ви продовжуєте отримувати це повідомлення, будь ласка, зв'яжіться з власником магазину."
"You need more permissions to access this.","Вам потрібно більше прав для доступу до цього."
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. Усі права захищено."
"Report Bugs","Повідомити про Помилку"
"Themes JavaScript and CSS files combined to one file.","JavaScript та CSS файли теми об'єднані в один файл."
"Design Theme","Дизайн Теми"
"User-Agent Exceptions","User-Agent Виключення"
"Find a string in client user-agent header and switch to specific design theme for that browser.","Знайти рядок у заголовку user-agent клієнта і переключити до конкретного дизайну теми для цього браузера."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Якщо поточне положення кадрування не покриває всі можливі сторінки, буде надаватися посилання на поточне положення плюс/мінус це значення."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Альтернативний текст для попереднього посилання у меню пагінації. Якщо пусто, зображення стрілки за замовчування буде використовуватися."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Альтернативний текст для наступного посилання у меню пагінації. Якщо пусто, зображення стрілки за замовчування буде використовуватися."
"Enable Javascript Bundling","Увімкнути пакетування JavaScript"
"Recovery Link Expiration Period (days)","Термін дії посилання відновлення (днів)"
"Values less than 60 are ignored.","Значення менше, ніж 60, ігноруються."
"Copyright &copy; %1 Magento, Inc. All rights reserved.","Авторське право &copy; %1 Magento, Inc. Всі права захищені."
"Search String","Рядок пошуку"
"Page not found.","Сторінка не знайдена."
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Якщо не вказати жодного значення, буде використане системне за замовчуванням. Системне за замовчуванням може бути змінен сторонніми екстеншинами."
label,етикетка
"System Backup","Резервне копіювання системи"
"Database and Media Backup","Резервне копіювання бази даних та медіа"
"Database Backup","Резервне копіювання бази даних"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","На Windows-системах архів можна розпакувати за допомогою <a href=""%1"">%2</a>."
"You need more permissions to activate maintenance mode right now.","Вам потрібно більше прав, щоб активувати режим тех. обслуговування прямо зараз."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Щоб створити резервну копію, будь ласка, зніміть позначку ""Перевести крамницю у режим тех. обслуговування"" або оновіть ваші права доступу."
"Something went wrong while putting your store into maintenance mode.","Щось пішло не так під час переведення вашої крамниці у режим тех. обслуговування."
"You need more free space to create a backup.","Вам потрібно більше вільного простору для створення резервної копії."
"You need more permissions to create a backup.","Вам потрібно більше прав для створення резервної копії."
"We can't create the backup right now.","Ми не можемо створити резервну копію зараз."
Backups,"Резервні копії"
Backup,"Резервне копіювання"
"We can't delete one or more backups.","Ми не можемо видалити одну чи кілька резервних копій."
failed,"не вдалося"
successful,вдало
"You deleted the selected backup(s).","Ви видалили вибрану(і) резервну(і) копію(ї)."
"Can't load snapshot archive","Немає змоги завантажити архів знімка"
"Please correct the password.","Будь ласка, виправте пароль."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Для завершення відкату, будь ласка, зніміть позначку ""Перевести крамницю у режим тех. обслуговування"" або оновіть ваші права доступу."
"We can't find the backup file.","Ми не можемо знайти файл резервної копії."
"We can't connect to the FTP right now.","Ми не можемо підключитися до FTP зараз."
"Failed to validate FTP.","Не вдалося перевірити FTP."
"You need more permissions to perform a rollback.","Вам потрібно більше прав для виконання відкату."
"Failed to rollback.","Не вдалося відкотити."
Database,"База даних"
"Database and Media","База даних і медіа"
"System (excluding Media)","Система (за винятком медіа)"
"You created the system backup.","Ви створили резервну копію системи."
"You created the system backup (excluding media).","Ви створили резервну копію системи (за винятком медіа)."
"You created the database and media backup.","Ви створили резервну копію бази даних і медіа."
"You created the database backup.","Ви створили резервну копію бази даних."
"Please correct the order of creation for a new backup.","Будь ласка, виправте порядок створення для нової резервної копії."
"The backup file does not exist.","Файл резервної копії не існує."
"The backup file path was not specified.","Не вказано шлях до файлу резервної копії."
"The backup file ""%1"" does not exist.","Файл резервної копії ""%1"" не існує."
"Sorry, but we cannot read from or write to backup file ""%1"".","Вибачте, але ми не в змозі читати з або записувати до файлу резервної копії ""%1""."
"The backup file handler was unspecified.","Не зазначено обробник файлу резервної копії."
"Something went wrong while writing to the backup file ""%1"".","Щось пішло не так під час запису до файлу резервної копії ""%1""."
"We can't save the Cron expression.","Ми не можемо зберегти вираз Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Ви втратите всі дані, створені відтоді, як була зроблена резервна копія, включно з адміністративними користувачами, покупцями та замовленнями."
"Are you sure you want to continue?","Ви впевнені, що бажаєте продовжити?"
"This may take a few moments.","Це може зайняти деякий час."
"Be sure your store is in maintenance mode during backup.","Переконайтеся, що ваша крамниця знаходиться у режимі тех. обслуговування під час резервного копіювання."
"Backup Name","Назва резервної копії"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Будь ласка, використовуйте тільки літери (a-z або A-Z), цифри (0-9) або пробіли у цьому полі."
"Maintenance mode","Режим тех. обслуговування"
"Please put your store into maintenance mode during backup.","Будь ласка, переведіть вашу крамницю у режим тех. обслуговування під час резервного копіювання."
Exclude,Виключаючи
"Exclude media folder from backup","Виключити медіа папку з резервної копії"
"Please enter the password to confirm rollback.","Будь ласка, введіть пароль для підтвердження скасування установки."
"This action cannot be undone.","Ця дія не може бути скасована."
"User Password","Пароль користувача"
"Please put your store into maintenance mode during rollback processing.","Будь ласка, переведіть вашу крамницю у режим тех. обслуговування під час виконання відкату."
"Use FTP Connection","Використовувати FTP-підключення"
"FTP credentials","Облікові дані FTP"
"FTP Host","FTP вузол"
"FTP Login","FTP логін"
"FTP Password","FTP пароль"
"Magento root directory","Коренева папка Magento"
"Create Backup","Створити резервну копію"
Rollback,Відкат
"Scheduled Backup Settings","Налаштування резервного копіювання за розкладом"
"Enable Scheduled Backup","Увімкнути резервне копіювання за розкладом"
"Backup Type","Тип резервного копіювання"
Frequency,Частота
"Maintenance Mode","Режим тех. обслуговування"
"Are you sure you want to delete the selected backup(s)?","Ви дійсно бажаєте видалити вибрану(і) резервну(і) копію(ї)?"
Size(bytes),Розмір(байти)
Type,Тип
Download,Завантажити
Banners,Банери
"Add Banner","Додати банер"
"Save Banner","Зберегти банер"
"Delete Banner","Видалити банер"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"New Banner","Новий банер"
"Default Content","Типовий вміст"
"No Default Content","Без типового вмісту"
"Banner Default Content for All Store Views","Вміст банеру за налаштуванням для всіх видів крамниці"
"Store View Specific Content","Вміст певного виду крамниці"
"Use Default","Використовувати типовий"
"Related Promotions","Споріднені заохочення"
Rule,Правило
"Start Date","Дата початку"
"End Date","Дата Закінчення"
"Banner Properties","Властивості банера"
"Banner Name","Назва банера"
Active,Активний
Inactive,Неактивний
"Applies To","Застосовується до"
"Any Banner Type","Будь-який тип банера"
"Specified Banner Types","Вказані типи банерів"
"Specify Types","Вкажіть типи"
"Banner Information","Інформація про банер"
Banner,Банер
"Banner Type","Тип банера"
Visibility,Видимість
"Are you sure you want to delete these banners?","Ви дійсно бажаєте видалити ці банери?"
"Related Banners","Споріднені банери"
Position,Позиція
"This rule no longer exists.","Це правило більше не існує."
"This banner does not exist.","Цей банер не існує."
"You deleted the banner.","Ви видалили банер."
"Something went wrong while deleting banner data. Please review the action log and try again.","Щось пішло не так під час видалення даних банера. Будь ласка, перегляньте журнал подій і повторіть спробу."
"We cannot find a banner to delete.","Ми не можемо знайти банер для видалення."
"This banner no longer exists.","Цей банер більше не існує."
"Edit Banner","Редагувати банер"
"Please select a banner(s).","Будь ласка, виберіть банер(и)."
"You deleted %1 record(s).","Ви видалили %1 запис(и/ів)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Щось пішло не так під час масового видалення банерів. Будь ласка, перегляньте журнал подій і повторіть спробу."
"You saved the banner.","Ви зберегли банер."
"We cannot save the banner.","Ми не можемо зберегти банер."
"Please enter a name.","Будь ласка, введіть назву."
"Please specify default content for at least one store view.","Будь ласка, вкажіть типовий вміст принаймні для одного виду крамниці."
"-- None --","-- Нічого --"
"Related Cart Price Rules","Пов\'язані Правила Цін для Кошику"
"Related Catalog Price Rules","Пов\'язані Правила Цін для Каталогу"
"Content Area","Місце для контенту"
Footer,"Нижній колонтитул"
Header,"Верхній колонтитул"
"Left Column","Ліва колонка"
"Right Column","Права колонка"
"Manage Banners","Керувати банерами"
"Banner Rotator","Чергування банерів"
"Displays Specified or Promotion Banners","Відображає вказані або заохочувальні банери"
"Banners to Display","Банери для відображення"
"Specified Banners","Вказані банери"
"Shopping Cart Promotions Related","Споріднено з заохоченнями кошику покупок"
"Catalog Promotions Related","Споріднено з заохоченнями каталогу"
"Restrict by Banner Types","Обмежити за типами банерів"
"Rotation Mode","Режим чергування"
"Display all instead of rotating","Відображати усі замість чергування"
"One at the time, Random","Один за раз, навмання"
"One at the time, Series","Один за раз, серія"
"One at the time, Shuffle","Один за раз, тасувати"
"Specify Banners","Вкажіть банери"
"Banner Block Template","Блоковий шаблон банера"
"Banner Inline Template","Рядний шаблон банера"
"General Information","Загальна інформація"
"Use Default Value","Використовувати типове значення"
"Add Selected","Додати вибране"
"All Segments","Всі сегменти"
"Customer Segment","Сегмент клієнта"
"Allowed Credit Card Types","Допустимі Типи Кредитних Карток"
"Add Rule","Додати Правило"
"Braintree Settlement Report","Розрахунковий Звіт Braintree"
"Sorry, but something went wrong","Вибачте, але щось пішло не так"
"We can't initialize checkout.","Ми не можемо ініціалізувати розрахунок."
"No authorization transaction to proceed capture.","Немає транзакції авторизації для продовження захоплення."
"Braintree error response.","Помилка відповіді Braintree."
"Wrong transaction status","Неправильний статус транзакції"
Authorize,Авторизувати
"Credit Card","Кредитна Картка"
ending,закінчується
expires,закінчується
"Please agree to all the terms and conditions before placing the order.","Буль-ласка, погодьтеся з усіма правилами та умовами перед тим як розмістити замовлення."
"Please, enter valid Credit Card Number","Будь-ласка, введіть діючий Номер Кредитної Картки"
"Please, enter valid Expiration Date","Будь-ласка, введіть дісну Дату Збігання"
"Please, enter valid Card Verification Number","Будь-ласка, введіть дійсний Номер Підтвердження Картки"
"Are you sure you want to delete this PayPal account","Ви впевнені, що хочете видалити цей аккаунт PayPal"
"PayPal Account","Аккаунт PayPal"
"PayPal Logo","Логотип PayPal"
"Credit Card Information","Дані Кредитної Картки"
"Save for later use.","Зберегти для подальшого використання."
"This payment is not available","Цей платіж недоступний"
MM,ММ
YY,РР
"Please try again with another form of payment.","Будь-ласка, повторіть спробу з іншою формою оплати."
"Sorry, but something went wrong.","Вибачте, але щось пішло не так."
"Payment ","Оплата "
"Credit transactions cannot be refunded.","Кредитні операції не можуть бути повернені."
"Enable this Solution","Увімкнути це Рішення"
"Enable PayPal through Braintree","Увімкнути PayPal через Braintree"
"Basic Braintree Settings","Основні Налаштування Braintree"
"Merchant ID","Ідентифікатор Торговця"
"Public Key","Публічний Ключ"
"Private Key","Приватний Ключ"
"Advanced Braintree Settings","Додаткові Налаштування Braintree"
"Merchant Account ID","Ідентифікатор Облікового Запису Торговця"
"Advanced Fraud Protection","Розширений Захист від Шахрайства"
"Kount Merchant ID","Kount Індентифікатор Торговця"
"CVV Verification","Перевірка CVV"
"Country Specific Settings","Специфічні для Країн Налаштування"
